version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,67.37,67.37,67.37
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,67.31,67.32,67.33
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,67.38,67.38,67.39
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,67.41,67.41,67.42
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,67.5,67.5,67.51
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,67.46,67.51,67.56
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,67.44,67.45,67.47
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,67.61,67.61,67.62
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,67.65,67.66,67.66
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,67.53,67.54,67.55
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,67.34,67.34,67.35
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,67.43,67.59,67.81
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,69.12,69.35,69.53
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,69.35,69.35,69.36
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,68.27,69.24,69.78
