version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,15,134.7,485
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,21,142.1,460
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,12,136.9,501
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,18,149.7,505
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,18,139.7,489
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,3,160,610
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,13,149.2,540
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,5,163.9,605
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,16,153.2,558
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,16,173.9,551
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,17,164,592
