version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,4722,4775,4906
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,4613,4646,4692
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,4634,4641,4696
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,4612,4638,4744
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,4638,4671,4709
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,4632,4662,4912
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,4553,4585,4661
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,4637,4690,4826
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,4646,4652,4656
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,4603,4617,4698
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,4627,4639,4685
