version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,10,14.64,14.67,14.78
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,10,14.57,14.59,14.62
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,10,13.84,13.89,14.03
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,10,14.48,14.66,14.95
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,10,14.53,14.56,14.59
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,10,14.56,14.58,14.6
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,10,14.5,14.52,14.63
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,13.9,14.36,14.96
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,10,14.49,14.53,14.56
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,10,14.48,14.51,14.54
