version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,155.7,156.8,162.4
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,154.6,155.1,157.9
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,96.68,97.5,102.1
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,154.4,154.9,157.5
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,96.63,97.57,103.2
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,155.1,156.6,161.2
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,96.76,97.57,104.3
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,60.27,107.9,161.9
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,96.79,97.71,103.2
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,155.8,156.4,164
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,97.38,98.31,106.3
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,154.7,155.2,157.9
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,96.77,97.59,102.3
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,96.98,97.84,103.6
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,96.83,98.32,114.4
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,96.77,97.59,102.6
