version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,930.5,933.3,937.9
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,906.5,909.4,912.4
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,912.8,950.9,1054
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,928,931.6,934.9
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,909.5,921.2,935.7
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,916.2,929.8,958
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,896.9,925.1,961.2
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,919.3,922,926.6
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,913.1,917.9,922.5
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,902.2,917.2,964.1
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,917.3,930.2,978.9
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,927.4,947.9,1041
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,915.4,931.7,1045
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,916.8,942.8,982
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,905.8,932.6,988.6
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,917,931.3,964
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,909.1,925.7,978.9
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,923.3,926.3,931.7
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,915.2,918.5,924.9
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,910.3,936.1,1078
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,943.3,948.5,981.2
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,920.1,958.1,1082
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,955.1,959.7,965.4
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,917.7,967.4,1432
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,913.6,926.9,1021
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,914.7,939.4,1489
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,923.3,940.8,1020
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,951.2,966.6,1017
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,968.5,971.6,979.1
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,962.5,966.1,969.3
3.10.0-RC1-bin-20260713-f51c618-NIGHTLY,20,965.9,974.8,1089
3.10.0-RC1-bin-20260714-7983fe7-NIGHTLY,20,970.8,997.4,1036
