version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,3301,3329,3343
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,3312,3336,3503
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,3385,3448,3681
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,3357,3360,3362
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,3327,3355,3366
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,3298,3352,3451
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,3332,3343,3391
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,3270,3302,3531
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,3333,3347,3434
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,3308,3330,3456
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,3315,3343,3498
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,3324,3363,3707
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,3324,3370,3614
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,3365,3375,3446
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,3303,3367,3670
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,3361,3396,3604
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,3361,3406,3534
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,3344,3378,3405
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,3298,3301,3321
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,20,3360,3364,3370
