version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,5018,5060,5390
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,4964,5057,5189
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,5053,5165,5352
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,5043,5096,5330
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,4990,5073,5280
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,5004,5096,5301
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,5008,5128,5324
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,4970,4985,5038
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,5043,5085,5199
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,5133,5150,5264
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,4985,5043,5186
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,5080,5163,5419
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,4956,5014,5091
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,4964,5307,6565
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,5157,5517,5883
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,5024,5083,5160
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,4997,5038,5064
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,5009,5081,5582
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,5049,5093,5302
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,4989,5083,5412
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,4989,5065,5537
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,5023,5122,5220
