version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,32.9,32.9,32.91
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,32.83,32.83,32.83
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,32.9,32.9,32.91
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,32.93,32.93,32.94
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,32.92,32.92,32.92
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,32.91,32.91,32.91
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,33,33.01,33.02
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,32.93,32.93,32.93
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,32.92,32.92,32.92
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,32.91,32.91,32.91
