version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,30.23,30.23,30.23
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,30.39,30.4,30.4
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,30.29,30.29,30.3
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,30.28,30.28,30.29
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,30.32,30.33,30.34
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,30.35,30.36,30.36
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,30.21,30.26,30.31
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,30.17,30.17,30.18
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,30.19,30.2,30.2
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,30.31,30.31,30.32
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,30.23,30.31,30.39
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,30.33,30.33,30.33
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,30.15,30.16,30.16
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,30.3,30.31,30.31
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,30.36,30.37,30.37
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,30.2,30.2,30.2
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,30.22,30.23,30.23
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,30.85,30.86,30.86
