version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,119.6,120.6,121.5
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,116.7,118.9,131.6
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,117.8,118.6,119.9
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,118.5,120.3,132.1
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,115.4,116.6,122.8
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,116.6,117.5,118.2
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,115.4,116.2,119.4
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,116.8,118.4,121
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,116.2,120.9,124.6
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,118.3,119.2,119.9
