version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,137.8,141.1,172.2
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,134.9,137.2,138.3
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,132.4,134.4,139.8
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,136.1,138.1,141.4
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,135.7,137.7,145.4
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,134.8,139,146.3
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,137.4,138.8,140.3
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,133.8,137.7,151.7
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,139.6,144.5,149.4
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,131.8,133.5,134.6
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,131.7,135.1,138.7
