version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,61.56,61.59,61.61
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,61.39,61.42,61.43
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,61.43,61.46,61.49
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,61.53,61.55,61.57
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,61.58,61.61,61.62
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,61.94,61.96,61.99
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,61.92,61.94,61.96
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,61.87,61.92,61.96
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,61.99,62.01,62.03
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,61.94,61.96,61.98
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,61.82,61.86,61.88
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,61.98,62,62.03
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,61.95,61.97,61.99
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,61.82,61.85,61.87
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,20,61.98,62.01,62.03
