version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,1116,1122,1145
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,1119,1126,1135
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,1114,1119,1140
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,1180,1196,1221
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,1174,1184,1188
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,1142,1192,1527
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,1134,1172,1290
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,1126,1138,1187
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,1133,1158,1194
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,1140,1145,1149
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,1118,1156,1240
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,1118,1163,1199
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,1127,1132,1142
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,1123,1128,1143
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,1118,1123,1127
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,1130,1137,1150
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,1122,1127,1131
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,1105,1186,1195
