version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,185.4,186.9,188.8
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,183.3,184.7,186
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,184.6,186.7,187.5
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,185.9,188.1,190.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,184.2,186.2,192.6
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,181.6,187.4,195.9
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,183.6,188.1,199.7
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,186,187.5,189.3
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,185.4,186.5,187.5
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,185,187,188.5
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,183.1,185.3,186.9
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,186.1,188.4,190.1
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,181.4,183,187.6
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,186,188.6,200.6
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,184.3,186.5,189.4
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,184.4,185.5,186.8
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,181.1,182.3,183.6
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,184.8,186.4,187.6
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,185.3,186,187
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,181.9,186.9,196.4
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,184.8,186.8,188.1
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,188.3,190.1,195.4
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,180.9,182.8,183.8
