version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,185.4,186.9,188.8
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,183.3,184.7,186
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,184.6,186.7,187.5
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,185.9,188.1,190.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,184.2,186.2,192.6
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,181.6,187.4,195.9
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,183.6,188.1,199.7
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,186,187.5,189.3
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,185.4,186.5,187.5
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,185,187,188.5
