version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,573.4,573.5,573.7
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,575.1,575.2,575.5
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,573.1,573.2,573.5
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,569.4,569.5,569.8
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,570.6,570.6,570.6
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,571.2,571.3,571.6
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,567.9,569.5,571.3
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,571.2,571.3,571.5
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,570.7,570.8,571
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,570.4,570.5,570.7
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,569.1,569.1,569.2
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,120,569.5,570.9,574.4
