version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,494.5,494.6,494.9
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,495.1,495.2,496
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,501,501,501
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,494.4,494.5,494.9
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,493.9,493.9,494.3
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,493.2,493.9,494.9
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,495.2,495.3,495.8
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,502.6,502.6,502.8
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,494.5,494.5,494.9
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,495.2,495.2,495.6
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,495.3,495.4,495.7
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,494.9,495.6,497.2
