version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,0,31.7,103
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,0,28.45,102
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,0,28.65,109
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,0,31.55,94
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,0,33.75,163
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,0,32.5,136
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,0,32.68,113
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,5,29.85,85
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,0,30.4,107
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,0,32.45,104
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,0,32.95,133
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,0,31.7,129
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,1,28.15,84
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,0,28.85,90
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,1,33.35,128
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,1,31.4,94
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,1,32,94
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,1,30.55,107
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,0,31.15,132
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,40,1,34.6,105
