version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,66.22,66.22,66.23
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,66.25,66.25,66.26
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,66.4,66.4,66.41
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,66.27,66.28,66.29
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,66.2,66.21,66.22
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,65.41,65.41,65.42
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,65.35,65.38,65.41
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,66.57,66.58,66.59
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,66.47,66.47,66.48
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,66.76,66.77,66.78
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,66.29,66.35,66.41
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,66.61,66.61,66.62
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,66.66,66.67,66.67
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,66.53,66.54,66.54
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,66.45,66.46,66.46
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,66.39,66.39,66.4
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,66.38,66.39,66.39
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,66.96,66.96,66.97
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,66.99,67,67
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,66.84,66.91,66.96
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,66.87,66.88,66.89
