version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,33.96,33.96,33.96
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,34.12,34.12,34.12
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,34.13,34.14,34.14
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,34.01,34.01,34.01
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,34.02,34.02,34.02
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,34.07,34.07,34.07
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,34.06,34.06,34.07
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,34,34,34
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,34.06,34.06,34.07
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,34.06,34.06,34.06
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,34.06,34.09,34.14
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,33.98,33.98,33.98
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,34.08,34.08,34.09
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,34.69,34.69,34.69
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,34.5,34.5,34.51
3.9.0-RC1-bin-20260510-eb2e041-NIGHTLY,60,34.5,34.53,34.56
3.9.0-RC1-bin-20260511-c3e3e42-NIGHTLY,120,34.46,34.58,34.63
3.9.0-RC1-bin-20260513-65a6143-NIGHTLY,20,34.62,34.62,34.62
3.9.0-RC1-bin-20260514-dfd481f-NIGHTLY,20,34.6,34.61,34.61
3.9.0-RC1-bin-20260515-ed18d94-NIGHTLY,80,34.46,34.6,34.74
3.9.0-RC1-bin-20260517-80517e5-NIGHTLY,20,34.57,34.57,34.57
3.9.0-RC1-bin-20260518-0ce4c47-NIGHTLY,140,34.47,34.56,34.68
3.9.0-RC1-bin-20260520-c101b01-NIGHTLY,20,34.62,34.62,34.62
3.9.0-RC1-bin-20260521-30e84c0-NIGHTLY,20,34.67,34.67,34.67
