version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,33.96,33.96,33.96
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,34.12,34.12,34.12
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,34.13,34.14,34.14
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,34.01,34.01,34.01
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,34.02,34.02,34.02
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,34.07,34.07,34.07
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,34.06,34.06,34.07
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,34,34,34
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,34.06,34.06,34.07
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,34.06,34.06,34.06
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,20,34.13,34.13,34.14
