version,count,min,avg,max
3.9.0-RC1-bin-20260423-5d6b9a4-NIGHTLY,20,261.2,261.3,261.4
3.9.0-RC1-bin-20260424-4a012b1-NIGHTLY,20,264,264.1,264.1
3.9.0-RC1-bin-20260425-c79f519-NIGHTLY,20,264.4,264.4,264.5
3.9.0-RC1-bin-20260426-9bb129b-NIGHTLY,20,264.4,264.4,264.4
3.9.0-RC1-bin-20260427-9bb129b-NIGHTLY,20,264.3,264.3,264.3
3.9.0-RC1-bin-20260428-9cfa0dd-NIGHTLY,20,264.4,264.5,264.5
3.9.0-RC1-bin-20260429-88140bc-NIGHTLY,20,265.1,265.1,265.2
3.9.0-RC1-bin-20260430-a24622b-NIGHTLY,20,264.7,264.7,264.7
3.9.0-RC1-bin-20260501-0c8c581-NIGHTLY,20,264.2,264.2,264.4
3.9.0-RC1-bin-20260502-b264c19-NIGHTLY,20,265,265,265
3.9.0-RC1-bin-20260503-b264c19-NIGHTLY,40,263.2,264.1,265.2
3.9.0-RC1-bin-20260505-e7e22e6-NIGHTLY,20,264.9,264.9,265.1
3.9.0-RC1-bin-20260506-0de5613-NIGHTLY,20,264.9,264.9,265
3.9.0-RC1-bin-20260507-b8210ea-NIGHTLY,20,261.4,261.5,261.5
3.9.0-RC1-bin-20260508-eb2e041-NIGHTLY,40,262.7,264.1,265.4
