version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,5080,5147,5239
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,5069,5115,5140
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,5079,5224,5420
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,5130,5141,5159
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,5135,5176,5270
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,5101,5165,5445
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,40,5188,5249,5568
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,5179,5235,5492
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,5074,5087,5113
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,5080,5205,5350
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,5096,5147,5382
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,5057,5102,5251
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,5135,5180,5315
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,5028,5078,5172
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,5083,5154,5489
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,5101,5153,5259
3.8.5-RC1-bin-20260421-d23d5ef-NIGHTLY,20,5171,5237,5545
3.8.5-RC1-bin-20260422-7154a4d-NIGHTLY,20,5061,5136,5323
