version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,3,89.1,303
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,1,102.1,326
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,4,106.8,345
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,1,97.8,388
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,9,105.1,331
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,1,104.6,342
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,1,100.7,375
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,4,106.2,368
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,1,111,373
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,6,113.1,366
