version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,0,82.4,412
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,1,77.65,379
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,0,69.25,262
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,0,115.3,895
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,0,85.25,545
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,0,89.05,606
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,0,86.48,519
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,1,94.3,578
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,0,101.4,882
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,1,81.2,372
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,0,106.5,688
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,0,87.5,799
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,0,85.69,536
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,0,81.7,472
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,0,84.48,565
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,5,90,593
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,0,79.95,539
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,0,114.4,1047
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,1,82.3,554
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,0,82,557
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,0,95.2,681
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,0,87.85,489
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,0,74.85,336
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,2,86.3,440
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,0,76.25,460
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,0,81.18,586
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,0,91.2,959
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,0,77.39,367
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,2,71.35,334
